199601080025,0,0,0,NA,Resistenza,Explosives
199601080026,0,0,0,NA,Resistenza,Explosives
199601080027,0,0,0,NA,Resistenza,Explosives
199601080028,0,0,0,NA,Resistenza,Explosives
199601080029,0,0,0,NA,Resistenza,Explosives
199601080030,0,0,0,NA,Resistenza,Explosives
199601080031,0,0,0,NA,Resistenza,Explosives
199601080032,0,0,0,NA,Resistenza,Explosives
199601080033,0,0,0,NA,Resistenza,Explosives
199601080034,0,0,0,NA,Resistenza,Explosives
199601080035,0,0,0,NA,Resistenza,Explosives
199601080036,0,0,0,NA,Resistenza,Explosives
199601080037,0,0,0,NA,Resistenza,Explosives
199601080038,0,0,0,NA,Resistenza,Explosives
199601080039,0,0,0,NA,Resistenza,Explosives
199601080040,0,0,0,NA,Resistenza,Explosives
199601080041,0,0,0,NA,Resistenza,Explosives
199601080042,0,0,0,NA,Resistenza,Explosives
199601080043,0,0,0,NA,Resistenza,Explosives
199601080044,0,0,0,NA,Resistenza,Explosives
199601080045,0,0,0,NA,Resistenza,Explosives
199601080046,0,0,0,NA,Resistenza,Explosives
199601080047,0,0,0,NA,Resistenza,Explosives
199601080048,0,0,0,NA,Resistenza,Explosives
199601080049,0,0,0,NA,Resistenza,Explosives
199601080050,0,0,0,NA,Resistenza,Explosives
199601080051,0,0,0,NA,Resistenza,Explosives
199601080052,0,0,0,NA,Resistenza,Explosives
199601080053,0,0,0,NA,Resistenza,Explosives
199601080054,0,0,1,NA,Unknown,Firearms
199601080055,0,2,0,NA,Free Papua Movement (OPM-Organisasi Papua Merdeka),Unknown
199601080056,0,0,0,NA,Rebels,Explosives
199601090001,0,2,0,NA,Unknown,Firearms
199601090002,0,1,0,NA,Muttahida Qami Movement (MQM),Firearms
199601090003,0,1,0,NA,Muttahida Qami Movement (MQM),Firearms
199601090004,0,0,1,NA,Muttahida Qami Movement (MQM),Firearms
199601090005,0,0,0,NA,Muttahida Qami Movement (MQM),Incendiary
199601090006,0,0,0,NA,Muttahida Qami Movement (MQM),Incendiary
199601090007,0,0,0,NA,Muttahida Qami Movement (MQM),Incendiary
199601090008,0,23,0,NA,Chechen Lone Wolf Group,Firearms
199601090009,0,3,0,NA,Devrimici Halk Kurtulus Cephesi (DHKP/C),Firearms
199601090010,0,1,0,NA,Armed Islamic Group (GIA),Firearms
199601090011,0,4,14,NA,Khmer Rouge,Explosives
199601090012,0,2,0,NA,Unknown,Melee
199601090013,0,9,0,NA,National Council of Maubere Resistance,Firearms
199601100001,0,1,0,NA,Unknown,Firearms
199601100002,0,0,0,NA,Chechen Lone Wolf Group,Firearms
199601100003,0,0,0,NA,Corsican National Liberation Front (FLNC),Explosives
199601100004,0,0,0,NA,Unknown,Incendiary
199601100005,0,0,0,NA,Unknown,Explosives
199601100006,0,1,2,NA,Unknown,Firearms
199601110001,0,9,20,NA,Unknown,Firearms
199601110002,0,3,1,NA,Liberation Tigers of Tamil Eelam (LTTE),Unknown
199601110003,0,1,0,NA,Democratic Karen Buddhist Army (DKBA),Firearms
199601110004,0,0,1,NA,Unknown,Melee
199601110005,0,0,0,NA,Unknown,Explosives
199601110006,0,0,0,NA,Resistenza,Explosives
199601110007,0,0,0,NA,Turkish Leftists,Incendiary
199601120001,0,0,1,NA,Bougainville Revolutionary Army (BRA),Unknown
199601120002,0,0,1,NA,Bougainville Revolutionary Army (BRA),Unknown
199601120003,0,0,1,NA,Bougainville Revolutionary Army (BRA),Unknown
199601120005,0,1,1,NA,Unknown,Firearms
199601120006,0,0,0,0,Unknown,Explosives
199601130001,0,0,0,NA,Unknown,Explosives
199601130002,0,0,0,NA,Unknown,Unknown
199601130003,0,1,1,NA,Armed Islamic Group (GIA),Firearms
199601130004,0,4,0,NA,Unknown,Explosives
199601130005,0,1,0,NA,Unknown,Firearms
199601130006,0,0,0,NA,Unknown,Explosives
199601140001,0,0,0,NA,Unknown,Firearms
199601140002,0,0,0,NA,Corsican National Liberation Front (FLNC),Explosives
199601140003,0,0,0,NA,Unknown,Explosives
199601150001,0,1,0,NA,Unknown,Firearms
199601150002,0,0,1,NA,Hamas (Islamic Resistance Movement),Firearms
199601150003,0,5,25,NA,Unknown,Explosives
199601150004,0,1,5,NA,Guatemalan National Revolutionary Unity (URNG),Unknown
199601150005,0,0,0,NA,Unknown,Unknown
199601160001,0,2,0,NA,Unknown,Firearms
199601160002,0,1,0,NA,Unknown,Unknown
199601160003,0,1,0,NA,Unknown,Unknown
199601160004,0,1,0,NA,Unknown,Unknown
199601160005,0,0,1,NA,Unknown,Unknown
199601160006,0,0,1,NA,Unknown,Unknown
199601160007,0,2,0,NA,Hamas (Islamic Resistance Movement),Firearms
199601160008,0,11,0,NA,Kurdistan Workers' Party (PKK),Explosives
199601160009,0,0,5,NA,Unknown,Explosives
199601160010,0,0,0,NA,Iparretarrak (IK),Explosives
199601160011,0,0,0,NA,Guatemalan National Revolutionary Unity (URNG),Explosives
199601160012,0,0,1,NA,Guatemalan National Revolutionary Unity (URNG),Unknown
199601160013,0,0,1,1,Chechen Rebels,Firearms
199601170001,0,1,0,NA,Unknown,Firearms
199601170002,0,14,0,NA,United Front for Nigeria's Liberation (UFNL),Explosives
199601170003,0,1,0,NA,Unknown,Firearms
199601170004,0,0,0,NA,Basque Fatherland and Freedom (ETA),Unknown
199601170005,0,0,0,NA,Unknown,Explosives
199601170006,0,0,0,NA,Unknown,Explosives
199601170007,0,0,0,NA,Unknown,Explosives
199601170008,0,0,0,NA,Unknown,Explosives
199601170009,0,0,0,NA,National Liberation Army of Colombia (ELN),Explosives
199601180001,0,1,0,NA,Unknown,Explosives
199601180002,0,0,23,NA,Unknown,Explosives
199601180003,0,0,9,NA,Unknown,Explosives
199601180004,0,0,0,NA,Unknown,Explosives
199601180005,0,0,0,NA,Unknown,Incendiary
199601180006,0,3,0,NA,Al-Ittihaad al-Islami (AIAI),Explosives
199601180007,0,0,0,NA,Unknown,Incendiary
199601190001,0,1,0,NA,Unknown,Firearms
199601190002,0,3,1,NA,Unknown,Firearms
199601190003,0,1,0,NA,Unknown,Firearms
199601190004,0,NA,NA,NA,East Timorese extremists,Unknown
199601200001,0,20,25,NA,Karen National Union,Unknown
199601200002,0,4,0,NA,Unknown,Firearms
199601200003,0,1,0,NA,Unknown,Firearms
199601200004,0,2,0,NA,Unknown,Firearms
199601200005,0,3,0,NA,Unknown,Firearms
199601200006,0,0,0,NA,Unknown,Incendiary
199601200007,0,0,0,NA,Unknown,Incendiary
199601200008,0,2,3,NA,Abu Sayyaf Group (ASG),Firearms
199601200009,0,0,0,NA,Unknown,Explosives
199601200010,0,2,5,NA,Unknown,Explosives
199601200011,0,NA,NA,NA,Unknown,Explosives
199601200012,0,7,0,NA,Unknown,Incendiary
199601210001,0,0,0,NA,Unknown,Explosives
199601210002,0,0,0,NA,Unknown,Firearms
199601210003,0,5,0,NA,Unknown,Firearms
199601210004,0,3,0,NA,Unknown,Explosives
199601210005,0,0,0,NA,Separatists,Explosives
199601210006,0,7,11,NA,Separatists,Firearms
199601220002,0,9,0,NA,Unknown,Firearms
199601220003,0,22,10,NA,Liberation Tigers of Tamil Eelam (LTTE),Explosives
199601220004,0,1,0,NA,Liberation Tigers of Tamil Eelam (LTTE),Unknown
199601220005,0,6,6,NA,Revolutionary Armed Forces of Colombia (FARC),Unknown
199601220006,0,1,1,NA,Revolutionary Armed Forces of Colombia (FARC),Explosives
199601220007,0,0,0,NA,Unknown,Incendiary
199601230001,0,1,NA,NA,Unknown,Firearms
199601230002,0,1,1,NA,Liberation Tigers of Tamil Eelam (LTTE),Firearms
199601230003,0,1,0,NA,Unknown,Explosives
199601230004,0,0,52,NA,Bangladesh Nationalist Party (BNP),Explosives
199601230005,0,0,0,NA,Awami League,Incendiary
199601240001,0,1,0,NA,Unknown,Unknown
199601240002,0,1,0,NA,Unknown,Unknown
199601240003,0,1,0,NA,Unknown,Unknown
199601240004,0,1,0,NA,Unknown,Unknown
199601240005,0,1,0,NA,Unknown,Unknown
199601240006,0,1,0,NA,Unknown,Unknown
199601240007,0,0,0,NA,Liberation Tigers of Tamil Eelam (LTTE),Unknown
199601240008,0,1,0,NA,Separatists,Firearms
199601250001,0,1,4,NA,Unknown,Firearms
199601250002,0,4,0,NA,Liberation Tigers of Tamil Eelam (LTTE),Unknown
199601250003,0,4,0,NA,Liberation Tigers of Tamil Eelam (LTTE),Firearms
199601250004,0,0,0,NA,Tribal Group,Unknown
199601260001,0,2,6,NA,Unknown,Firearms
199601260002,0,7,0,NA,Unknown,Melee
199601260003,0,1,0,NA,Unknown,Firearms
199601260004,0,0,1,NA,Unknown,Explosives
199601260005,0,0,0,NA,Separatists,Explosives
199601260006,0,2,3,NA,Unknown,Explosives
199601260007,0,0,0,NA,Unknown,Explosives
199601260008,0,0,0,NA,Unknown,Unknown
199601270001,0,1,0,NA,Unknown,Firearms
199601270003,0,0,0,NA,Basque Fatherland and Freedom (ETA),Explosives
199601270004,0,1,10,NA,Unknown,Explosives
199601270005,0,2,0,NA,Unknown,Firearms
199601270006,0,1,3,NA,Unknown,Explosives
199601270007,0,0,3,NA,Unknown,Explosives
199601270008,0,3,2,NA,Unknown,Firearms
199601270009,0,0,0,NA,Bangladesh Nationalist Party (BNP),Explosives
199601270010,0,0,0,NA,Bangladesh Nationalist Party (BNP),Unknown
199601270011,0,1,50,NA,Opposition Group,Firearms
199601270012,0,0,1,NA,Unknown,Unknown
199601280001,0,1,0,NA,Hamas (Islamic Resistance Movement),Explosives
199601280002,0,3,1,NA,Liberation Tigers of Tamil Eelam (LTTE),Unknown
199601280003,0,0,0,NA,Opposition Group,Unknown
